Name,Country,Type,Style,Grape,Fullness,Long Description,Price,Awards,ABV,Volume,ID,Year
Morande M Chardonnay 2018,Chile,White,Rich ,Chardonnay,DRY,"The Belén Estate in Chile's Casablanca Valley is perfect for growing grapes that make fresh, fruit driven wines. The clay and granite soils are not too fertile and the maritime influences allows the grapes to ripen slowly retaining delicious fruit flavours. This fine, fresh Chardonnay is all about fruit with an abundance of citrus, pear, apple and pineapple flavours. Try this with marinated meaty white fish.",9.99,,13.0,75.0,326,2018
Mon Plaisir du Sud Rouge 2017,France,Red,Fruity ,"Syrah, Grenache, Carignan",FULL,"This super concentrated blend of Carignan, Syrah and Grenache oozes the sun dappled charm of the Languedoc with black fruit intensity and decadent clove spice.",7.99,IWC 2018 - Commended Award,12.5,75.0,327,2017
Dogajolo Carpineto 2016 Toscana,Italy,Red,Big ,"Cabernet Sauvignon, Sangiovese, Sangiovese",MEDIUM,"In the innovative style of the Super-Tuscans, but at a fraction of their price, this is a 'Baby-Tuscan'. Cabernet Sauvignon is blended with a majority of the native Sangiovese to create a wine superior to its IGT classification. Soft and intensely fruity, this wine combines the elegance and complexity given by oak-ageing with the fragrant, fresh fruit of a young wine. Soft on the palate with a smooth finish. A great all-rounder, this wine will complement a rich Tuscan stew, as well as cold cut meats or even just with pizza.",12.99,,13.0,75.0,329,2016
"Shaw and Smith 'M3' Chardonnay 2017, Adelaide Hills",Australia,White,Rich ,Chardonnay,DRY,"Shaw and Smith began in 1989 when cousins Martin Shaw and Michael Hall Smith decided to realise a dream to make wine together. Their aim was to make exciting, refined wines and they specialise in Sauvignon Blanc, cool climate Shiraz and this single vineyard Chardonnay. ""This beautiful Chardonnay gets better with each vintage. It's a gorgeously subtle white wine with a core of lemony fruit and just a hint of very smart, powdery oak."" Max Allen, The Weekend Australian Lightly chill and drink over the next five years with roast pork.",35.0,,13.5,75.0,330,2017
Haut Poitou Sauvignon Blanc 2017 Pierre Sauvion,France,White,Fruity ,Sauvignon Blanc,DRY,"Covering an area to the north of Poitiers, in the southeastern part of the Loire, Haut Poitou has been a well known winemaking territory for centuries, but was created an AOC as recently as 2011 as a result of its wines' notable levels of quality. A crisp, dry and well structured white reminiscent of the classic Sauvignons of the central Loire valley. Full of incisive citrus fruit character, lifted herbaceous aromatics and cleansing acidity. Drink with fresh seafood.",10.99,,12.5,75.0,331,2017
Viñalba Fifty 50 2017 Uco Valley,Argentina,Red,Big ,Malbec,FULL,"Bordeaux winemaker Hervé Fabre made his name from Malbec, having been the first to make a single-varietal Malbec in Argentina. This wine is a 50/50 blend of Malbec and Cabernet Sauvignon, Argentina's 'other' great Bordeaux-sourced grape. Typically intense and vibrant, full of inky violet colour, with a juicy damson and blackcurrant backbone characterising both nose and palate. Toasty oak influence adds a touch of complexity. Perfect with a juicy roast leg of lamb.",12.99,"IWC 2018 - Bronze Award, Decanter 2018 - Silver Award",14.5,75.0,332,2017
"Castaway Island Chardonnay 2018, Gisborne",New Zealand,White,Fruity ,Chardonnay,DRY,"Years ago, New Zealand was a treacherous place to reach by sea. It's been responsible for countless shipwrecks. Premium Chardonnay is the Kiwi castaway. Overshadowed by Sauvignon Blanc, it's not given the focus it deserves on the wine-world stage. So it's still under the radar. And you can taste this world-beating expertise at a snip. You're in for a punchy cocktail of tropical fruit and melon, all balanced by zesty acidity. It shows the best of what's unique to Gisborne. You'll truly get lost in the abundance of fruit flavours in this. And you'll just find it here.",8.99,,13.0,75.0,333,2018
Catena Cabernet Sauvignon 2017 Mendoza,Argentina,Red,Big ,Cabernet Sauvignon,FULL,"Catena's Agrelo vineyards possess ideal soil and micro-climatic conditions for growing classic varieties such as Cabernet Sauvignon, and are renowned for producing wines of great finesse and elegance. Full bodied, with rich, dark, supremely concentrated cassis-scented black fruit and a warm, spicy finish. Excellent with steaks, roast beef or, if you are feeling adventurous, haggis.",13.99,IWC 2017 - Silver Award,13.5,75.0,334,2017
Haut Vol Rosé 2018 VdF,France,Rose,,"Grenache, Carignan",DRY,"While Provence tends to take the lion's share of the limelight when it comes to rosé, many producers throughout the rest of southern France are making superb value rosés in a similar style, using classic Grenache-based blends. A delicate rose petal pink, this is a light-bodied and delicately fruity rosé characterised by the sweet summer smells of strawberries and raspberries, and a refreshingly easy-going palate. Perfect for your summer barbecue, pairing well with grilled meats or dressed salads.",8.99,,13.0,75.0,339,2018
Kuhlmann-Platz Riesling 2018 Cave de Hunawihr,France,White,Crisp ,Riesling,OFF DRY,"This cooperative was started by a group of small producers in Hunawihr in 1954, but today has member growers throughout the Alsace heartland. Winemaking is headed by Nicolas Garde, an Alsace-born winemaker, schooled in Burgundy and New Zealand. A pale straw yellow, this wine is a classic Alsace Riesling, showing ripe pear and peach fruit, braced by a steely acidity. Clean and pure on the palate, finishing with a citrussy freshness. Drink now or within the next 5 years, with seafood or creamy fish dishes.",11.99,,12.5,75.0,341,2018
Terrazas de los Andes Selection Malbec 2016 Mendoza,Argentina,Red,Big ,Malbec,FULL,"From vineyards situated at over 1000 metres above sea level, this is a Malbec of Mendoza's trademark intensity and purity of fruit, which is further enhanced by use of only the free-run wine, aged for 12 months in a mixture of new and old French and American oak barrels. The wine is harmonious and smooth, with racy notes of violet and graphite accenting the backbone of plum and currant fruit, followed by a finish reminiscent of dry cherries, raisins and prunes. Ideal with rare roasted lamb or beef, or heavily seasoned rustic, meaty sausages.",16.99,,14.0,75.0,343,2016
Olivier Dubois Cuvée Prestige Sauvignon Blanc 2018,France,White,Fruity ,Sauvignon Blanc,DRY,"Sancerre and Pouilly Fumé Sauvignons demand regal sums. But if you head to Touraine you can discover the Loire Valley's best value. This is boasting all the aromatic, herby notes you'd expect from a top-shelf Sauvignon.",9.99,,12.5,75.0,344,2018
Luis Felipe Edwards Signature Series Viognier Reserva 2019 Rapel Valley,Chile,White,Fruity ,Viognier,DRY,"Luis Felipe Edwards is the largest family-owned winery in Chile, and have developed a wide range of markedly Chilean-style wines, from classic grape varieties. This Viognier is pressed in a protective atmosphere and spends only 2 months in oak, for maximum freshness. Light and fresh, yet intensely aromatic. Flavours of peach, apricot and ripe pears cascade across the palate, finishing with a refreshing acidic lift and gentle mineral grip. A great partner for mild spicy dishes, such as cajun chicken, Thai red curry, or sweet chilli and garlic prawns.",7.99,,13.5,75.0,347,2019
Alheit Limited Release Red Blend,South Africa,Red,Big ,"Cabernet Sauvignon, Syrah, Grenache, Cinsault, Carignan",MEDIUM,,19.99,,12.0,75.0,348,Unknown
Majestic Loves Pinot Grigio,,White,Crisp ,Pinot Grigio,DRY,Our Mission was to find the best tasting wines at £5.99 so we blind tasted 500 wines and chose the best irrespective of grape variety or country.,7.99,,12.0,75.0,349,Unknown
Beaujolais Lantignié 2018 Louis Jadot,France,Red,Fruity ,Gamay,MEDIUM,"The village of Latignié is just north-west of Regnié in the heart of the Beaujolais-Villages region. Maison Louis Jadot is a well known name across the Burgundy region. Their aim is to express the true nature of Burgundy and this wine is no exception. This is a bright, vibrant Gamay with moderate acidity and soft tannins, cherry and raspberry flavours and a pleasant finish. Best served lightly chilled either on its own or with cold meats and salads.",12.99,,14.0,75.0,351,2018
Farm Hand Shiraz 2018,Australia,Red,Big ,Shiraz,MEDIUM,"Ripe and fruity with enticing flavours of plum, cassis and spice and hints of suble, savoury oak this wine packs a lot of punch for it's price tag.",11.99,,13.5,75.0,352,2018
Côtes-du-Rhône Blanc 2016 Léon Perdigal,France,White,Rich ,"Viognier, Grenache, Roussanne, Bourboulenc, Clairette, Grenache Blanc",DRY,"This wine is a blend of five traditional white varieties sourced from several vineyard areas across the southern Rhône, including the districts of Vaucluse, Gard, Ardèche and Drôme. Fermented at low temperatures and matured without oak. An approachable wine with medium intensity and a gently complex nose of pear, white peach and delicate honeysuckle scents. A rounded palate with a pleasing balance between roundness and crisp acidity. A good all-rounder for pairing with food. Ideal with chicken or fish in light sauces.",9.99,Decanter 2018 - Bronze Award,13.0,75.0,353,2016
Ammazza Pinot Grigio IGT,Italy,White,Crisp ,Pinot Grigio,DRY,"Made in Verona this is a classic Pinot Grigio with delicate citrus and apple aromas and vibrant acidity. The flavours on the palate are zesty lemon, crisp apple and soft pear.",9.99,,12.0,75.0,354,Unknown
Stone Arka Chardonnay 2018,,White,Crisp ,Chardonnay,DRY,"Bulgaria is making some stunning value wines and this Chardonnay is a prime example with elegant flavours of peach, nectarine and citrus followed by a nutty finish.",9.99,,12.5,75.0,355,2018
Fallow's View Shiraz,South Africa,Red,Big ,Shiraz,LIGHT,"As a South African red fan, you know that the countrys trusty weather and luxurious conditions make it a hub for bang-for-your-buck wine. And its made by the Gabb familys Journeys End winery, which has won countless 90+ point scores from Robert Parker, Tim Atkin MW and Neal Martin to name just a few. Shropshire-born Roger Gabb founded Journeys End, in Stellenbosch, less than 25 years ago. Its since become one of South Africas leading wineries.",6.99,,13.0,75.0,358,Unknown
"Merf Chardonnay, 2017",USA,White,Rich ,Chardonnay,DRY,"With flavours of bright apple, pear, tropical fruit and delightful creamy notes from integrated oak, this is a Chardonnay to give even our ever-popular Bread & Butter Chardonnay a run for its money.",13.99,,14.5,75.0,359,2017
Napa Family Vineyards Cabernet Sauvignon 2017,,Red,Big ,Cabernet Sauvignon,MEDIUM,"Everything you'd hope from a classic Napa Valley Cab - rich and brooding with rich cassis, blackberry, and black cherry fruit juxtaposed against hints of cedar, but with supple tannins that provide a fantastic elegance.",22.99,,14.5,75.0,361,2017
Domaine Les Yeuses 'Les Epices' Syrah 2017 PGI Pays d'Oc,France,Red,Fruity ,Syrah,FULL,"Not far from the Mediterranean, Domaine Les Yeuses is near Mèze in the Languedoc region. Jean-Paul and Michel Dardé work together with winemaking consultants to ensure the best results from the soil, vines, grapes and climate. It has wonderfully spicy, perfumed Syrah fruit and an elegant softness and roundness which mark it out as a wine of quality. The finish is long, with an intriguing bitter-sweet pepper note. Superb complexity for the money, this award-winning wine will age for 2-3 years but is fantastic now with all manner of meat dishes.",11.99,,13.5,75.0,362,2017
"Zinopolois Zinfandel, 2017",,Red,Big ,Zinfandel,MEDIUM,"As suggested by the slightly otherworldly name - this Zin' sticks out from the crowd. It's expertly woven layers of sun-dried cherry, white pepper and tobacco. It was a no-brainer to grab this parcel to treat Zinfandel fans.",12.99,,14.0,75.0,363,2017
Santa Rita 120 Cabernet Franc 2016 Central Valley,Chile,Red,Big ,Cabernet Franc,MEDIUM,"As well as being a constituent of many Bordeaux blends, Cabernet Franc is the classic red variety of much of the Loire region, particularly Saumur and Chinon. This Chilean example offers a rare glimpse of Cabernet Franc a single varietal wine from outside of France. A medium-bodied, ruby red wine, offering aromas of ripe red berries, wild herbs and tomato leaf. The palate delivers ripe cherry and raspberry fruit, with both fresh acidity and rounded tannin. A great partner for soft cheeses and fresh tomato pasta dishes.",8.99,,13.0,75.0,365,2016
Santa Rita 120 Sauvignon Blanc 2017 Central Valley,Chile,White,Fruity ,Sauvignon Blanc,DRY,"Santa Rita's 120 range places the emphasis firmly on lively, up-front fruit flavours, and great value. Maximum fruit character is obtained by hand-harvesting and cold fermentation of the Sauvignon grapes, and the addition of 2% Semillon helps keep the blend well-rounded. Crisp and refreshing, this wine offers an abundance of grapefruit and lemon fruit flavours, delivered in a softer, more tropical fruit texture. A great party wine, endlessly gluggable on its own, or alongside seafood.",8.99,,13.5,75.0,366,2017
Morandé one to one Gewurztraminer 2017,Chile,White,Fruity ,Gewurztraminer,DRY,"The grapes for this wine are grown on low fertility soils in the Casablanca Valley. This combined with the cold maritime climate produce grapes that are highly aromatic and this translates into the wine. Intense and full of flavours such as lychee, orange blossom, melon and jasmine. While rich this wine is balanced by the fresh aromatic flavours. This will be a delight with spicy Asian dishes",8.99,,13.0,75.0,368,2017
Pouilly Fume Pierre Marchand 2018,France,White,Fruity ,Sauvignon Blanc,DRY,"This classic Pouilly Fume displays elements of gooseberry, citrus and apple with a fine, cleansing acidity and a delicious hint of smoke on the long finish.",14.99,Decanter 2019 - Silver Award,13.0,75.0,369,2018
Vina Vedra Albariño,Spain,White,Fruity ,Albariño,DRY,"Sustainably-made, modern, and delicious. Lots of vibrant green fruit and a zesty, citrus finish. Try with seafood-based dishes from the region and you'll be impressed!",12.99,,13.0,75.0,372,Unknown
Errazuriz Estate Series Pinot Noir 2018 Valle de Aconcagua,Chile,Red,Fruity ,Pinot Noir,MEDIUM,"Don Maximiano Errázuriz founded Viña Errázuriz in 1870 in the Valle de Aconcagua, 100 kms north of the capital city, Santiago. He realised that the cool, rainy winters and hot, dry summers combined with Pacific breezes to make it an ideal area to grow grapes. An attractive colour with an aromatic nose of cherries, floral notes and a touch of mint. The fresh palate displays fruit that is well-balanced by smoky nuances from the oak ageing. A smooth, silky mouthfeel make this an excellent partner to roast pork or fillet of salmon.",9.99,IWC 2017 - Silver Award,13.5,75.0,374,2018
"Sexy Beast Cabernet 2017 Two Hands, McLaren Vale",Australia,Red,Big ,Cabernet Sauvignon,FULL,"Two Hands source their Cabernet Sauvignon from a range of sites throughout McLaren Vale to make this voluptuous wine. Vinified in traditional open fermenters, the wine is then matured for 14 months in French oak hogsheads. A deep and lush ruby colour, with an alluring nose of rich fruit, and subtle touches of violet, smoke, and leafy herbs. Fulsome yet elegant, the tannins are smooth and the palate tightly structured. Enjoy immediately or cellar for up to 10 years.",21.99,,14.2,75.0,375,2017
Poste Restante Organic Verdejo 2018,,White,Crisp ,Verdejo,DRY,"Organically farmed this is a delightfully crisp, dry and refreshing addition to our range of Spanish whites. Vibrantly fruity this is packed with citrus, pear and intense herbal flavours.",9.99,,12.0,75.0,376,2018
Saint-Joseph 2017 Cave de Tain,France,Red,Smooth ,Syrah,MEDIUM,"This rich Syrah retains a remarkable freshness and purity of flavour. Bright blackcurrant and raspberry flavours are followed by notes of pepper, violets and minerals.",17.99,,13.5,75.0,377,2017
LFE 900 Single-Vineyard 2013 Colchagua Valley,Chile,Red,Big ,"Syrah, Grenache",FULL,"This wine is a blend of Syrah, Petite Syrah, Grenache and Mourvedre. All are sourced from the same high-altitude vineyard in Colchagua Valley, which enjoys average temperatures 3ºC lower than in the valley floor, producing intensely flavoured, slow-ripened grapes. As a result the wine is a symphony of ripe, dense black fruit flavour, structured by muscular yet velvety tannins.",16.99,IWC 2017 - Silver Award,14.5,75.0,379,2013
Bourgogne Pinot Noir 'Les Pierres Rouges' 2017 Louis Jadot,France,Red,Fruity ,Pinot Noir,MEDIUM,"Maison Louis Jadot has been making wine in Burgundy since before 1859. With an unwavering dedication to quality, winemaker Jacques Lardière aims for excellence with all his wines. Displaying subtle hints of red fruit and violets on the nose, with a well rounded palate of cherry and raspberry fruit with a rounded texture. Gently tannic and with good length. Drinking superbly on its own, also try this with small game.",16.99,,13.0,75.0,380,2017
Champ Libre Chenin Blanc 2017,France,White,Fruity ,"Chenin Blanc, Chenin Blanc",DRY,"Chenin Blanc has been grown by the Loire for over 100 years and is something of a regional speciality. Aromas of golden apple & ripe citrus with peachy flavours & a tangy apple skin finish. Match with thai dishes, pan fried fish or roast chicken",11.99,,11.5,75.0,381,2017
Catena Alta Malbec 2016 Mendoza,Argentina,Red,Big ,Malbec,FULL,"In 1994 Catena Alta became one of the first premium Malbecs to be exported from Argentina. From the best rows of vines, rigorously sorted and aged in French oak, 70% of which is new. Quintessential Malbec, displaying the power and ageing potential of Argentina. Deep purple in colour, with intense aromas of blackberry with hints of violets, sweet spices, vanilla and tobacco. Full bodied with integrated ripe tannins, black pepper spice and a lingering finish. Decant well in advance and enjoy over the next decade. It may be clichéd, but steak, meat and more meat provide for a fantastic match.",33.0,,13.5,75.0,384,2016
Bienbebido Pulpo Albariño 2018,Spain,White,Crisp ,Albariño,DRY,"Perhaps unsurprisingly given the seafood-rich gastronomy of Spain's north coast, Vintae have settled on the region's most famous white, Albariño as their ideal accompaniment for octopus, a typical dish of Galicia and the Basque country. A fresh and vibrant wine with a pleasant balance between citrussy refreshment and easy-going apple and stone-fruit flavours, delivered on a satisfyingly soft-edged palate. Will pair well with many flavoursome seafood dishes, but try it with octopus dressed with olive oil and paprika for the full experience.",9.99,,12.5,75.0,386,2018
San Huberto Malbec La Rioja,Argentina,Red,Big ,"Malbec, Rioja",MEDIUM,"Deep ruby coloured with smoky black fruits of cassis, blackberry and spice. The concentration of the wine performs well above its price point with soft tannins and a long finish.",9.99,,13.5,75.0,387,Unknown
Bourgogne Chardonnay 'Les Chenaudières' 2016/17 Cave de Lugny,France,White,Crisp ,Chardonnay,DRY,"A stylish wine from one of Burgundy's most reliable and reputable cooperatives. Cave de Lugny is situated in the heart of the Mâconnais, and is the biggest producer of the region. Crisp and elegant with citrus and apple fruit characters alongside a lovely streak of minerality. Refined and classy, with good length. Ideally partnered with light seafood dishes. Drink well chilled and in its youth.",12.99,"Decanter 2018 - Bronze Award, Decanter 2017 - Bronze Award",13.0,75.0,392,2016
Santa Rita Medalla Real Chardonnay 2018 Limari Valley,Chile,White,Rich ,Chardonnay,DRY,"Sourced mainly from the Limarí Valley, the northernmost vineyard district in Chile. Although closer to the equator, the valley is efficiently cooled by sea breezes, due to its east-west orientation. This Chardonnay is barrel fermented and undergoes regular lees stirring. Bright golden in colour, with a faint green tint. The nose offers good ripeness, with citrus aromas turning to a softer, more apple and stone fruit character. Weighty and creamy on the palate. Balances well with oily fish such as baked sea bass, barbecued pork belly or roasted poultry.",11.99,IWC 2018 - Silver Award,13.5,75.0,393,2018
Domaine de la Métairie dAlon Pinot Noir 2017,,Red,Fruity ,Pinot Noir,MEDIUM,"Coming from the highest plot on the 25 hectare estate the grapes produces an extremely Burgundian style of Pinot Noir. Fresh and fine this is an expressive wine where cherry, blueberry and redcurrant fruit flavours intermingle with notes of spice and rhubarb. The tannins are now well integrated and slightly peppery, the finish is long and clean with just a touch of liquorice.",22.99,,14.0,75.0,394,2017
Dog Point Chardonnay 2015 Marlborough,New Zealand,White,Rich ,Chardonnay,DRY,"18 months in mainly old French oak barrels has formed this top quality Marlborough Chardonnay into a genuine rival to premier cru Burgundy. Straw coloured, with aromas of flint, grapefruit peel and ripe citrus fruits are framed by nutty mineral nuances in this wine. Seamlessly integrated oak leads into a wonderfully balanced Chardonnay with a concentrated and lively finish. Will reward careful cellaring of 3-5 years.",28.0,,14.0,75.0,396,2015
Spring Break Chardonnay 2017,,White,Rich ,Chardonnay,DRY,"Californian Chardonnay without the oak? Yes! It's a clean, fresh white with notes of green apple, layers of ripe peach and a drizzling of honey.",7.99,,13.0,75.0,398,2017
Fallow's View Shiraz,South Africa,Red,Big ,Shiraz,LIGHT,"As a South African red fan, you know that the countrys trusty weather and luxurious conditions make it a hub for bang-for-your-buck wine. And its made by the Gabb familys Journeys End winery, which has won countless 90+ point scores from Robert Parker, Tim Atkin MW and Neal Martin to name just a few. Shropshire-born Roger Gabb founded Journeys End, in Stellenbosch, less than 25 years ago. Its since become one of South Africas leading wineries.",6.99,,13.0,75.0,399,Unknown
"Clare Wine Co Watervale Riesling 2018, Clare Valley",,White,Crisp ,Riesling,DRY,Perfectly balanced the acidity here add a delightful freshness without overpowering the lime and apple flavours that flow on to a gently floral finish.,12.99,,12.5,75.0,401,2018
Gabb Family Chardonnay 2018,South Africa,White,Rich ,Chardonnay,DRY,Situated in the most Southerly part of Stellenbosch the cooler climate of the vineyards produces a premium wine with rich and complex flavours of Vanilla and butterscoth balanced by a fresh citrus finish.,14.99,,13.5,75.0,402,2018
Rioja Roda I Reserva 2013 Bodegas Roda,Spain,Red,Smooth ,Rioja,MEDIUM,"No expense has been spared at Bodegas Roda in trying to produce the finest wines in this famous region. Huge investment in both vineyard and winery coupled with incredibly high standards produce a modern and sexy wine which has critics cooing. This Reserva is produced from some very old, extremely low yielding vines. 2009 was a strong vintage in Rioja, and the Reserva has plenty of weight and fine-grained tannins, and an immense nose of incense and spice. Drink now or over the next 3-5 years.",48.0,,14.5,75.0,404,2013
Gabb Family Sauvignon Blanc,South Africa,White,Fruity ,Sauvignon Blanc,DRY,"A pronounced nose, with lime, green fig, kiwi fruit, gooseberries and hints of herbaciousness and minerality. The palate displays beautiful kiwi fruit and tangy green apple.",14.99,,13.0,75.0,406,Unknown
Dr Loosen Slate Hill Riesling 2018,Germany,White,Sweet ,Riesling,MEDIUM,"The Dr Loosen has been in the same family for over 200 years and included vines in some of the best vineyards in Germany. Yields are stricly limited with rigourous selection to remove inferior fruit before vinification. This is a classic, fragrant and honeyed Riesling with pungent fruit flavours of peach, apricot and lime. The finish is refreshingly mineral making this a dangerously quaffable wine. Enjoy this with asian spiced dishes",11.99,,8.5,75.0,407,2018
Abbotts & Delaunay Mourvedre 2017,France,Red,Fruity ,Mourvedre,FULL,We love the wines Abbotts & Delaunay make in the Aude region of the Languedoc. The Mouvedre is deep and intense with black fruit flavours to the fore. For such a rich wine the finish is surprizingly smooth and fresh with notes of spice.,9.99,,13.0,75.0,408,2017
Hexadique Cote du Rhone Blanc,France,White,Rich ,"Viognier, Grenache",DRY,"A fresh style of Côtes du Rhône Blanc; delicate floral notes and a hint of oak lead to a fresh medium-bodied palate with flavours of pears, melon and honeysuckle.",11.99,,13.5,75.0,409,Unknown
Penfolds Max's Shiraz Cabernet Sauvignon 2016,Australia,Red,Big ,"Cabernet Sauvignon, Shiraz",MEDIUM,Rich and complex the Shiraz adds blueberry flavoured fruitiness while the Cabernet brings a mineral complexity reminiscent of slate and iron filings.,22.99,,14.0,75.0,410,2016
Vasse Felix Heytesbury Chardonnay 2015 Margaret River,Australia,White,Rich ,Chardonnay,DRY,"Produced in the Wilyabrup sub region of Margaret River region of Western Australia, from grapes grown under the influence of nearby oceans. Fermented using wild yeasts and matured for 10 months in French Oak, Heytesbury is a barrel selection of the best Chardonnay. Rich and buttery aromas with stone-fruits, vanilla, peaches and toast. Medium weight yet opulent, with layers of complexity; citrus notes, hints of cream and a long, intense finish. The wine has the capacity to age for the next 5 years or enjoyed now. Drink with roasted seafood, creamy sauces and roasted poultry.",44.99,,13.0,75.0,411,2015
Far Out Merlot,USA,Red,Fruity ,Merlot,LIGHT,"Ripe plummy with an excellent depth of flavour this possesses ripe tannins, and elegant structure and a long finish.",7.99,,13.0,75.0,413,Unknown
Côtes du Rhône 2016 Vidal-Fleury,France,Red,Smooth ,"Syrah, Grenache, Carignan",MEDIUM,"Vidal-Fleury is the Rhône Valley's oldest continuously-operating winery, established in 1781. Today, head winemaker is Guy Sarton du Jonchay, whose experience takes in Bordeaux, Australia's Rosemount Estate and Cavas de Weinert of Argentina. Brilliant garnet in colour, with a classic Rhône nose of bramble fruits and heady spice. The medium-bodied palate has fresh and snappy red fruit surrounded by firm and persistent tannins. Serve alongside Lyonnaise sausage or a herby cassoulet with duck confit.",11.99,,14.0,75.0,416,2016
Pietrariccia Fiano 2018 Surani,Italy,White,Fruity ,Fiano,DRY,"Masseria Surani is an estate dating back to the early 1900's, and is located just 6km from the Ionian coast in Apuglia, Italy's 'heel'. The Fiano grape is found almost exclusively in southern Italy and Sicily, and is thought to have it origins in ancient Greece. A bright lemon colour with a golden tinge. The nose offers an inviting mixture of citrus and tropical fruit with floral hints. Crisp acidity and good palate texture make for a refreshing, satisfying feel. Drink with a salad, generously dressed with olive oil, anchovies and pine kernels.",11.99,,13.0,75.0,417,2018
Fitou Fleurs de la Vigne 2017,France,Red,Fruity ,"Syrah, Grenache",MEDIUM,"Fitou, Fleurs de la Vigne is produced from low yielding vines in the coastal area of the fitou appellation. It is made from carignan, grenache and mourvèdre - the carignan adds the back bone and structure to the wine , the grenache the juicy fruit and the mourvèdre the rich aromas. Aromas and flavours of brambles, plum and rosemary ooze out with well structured body and complexity. Wild boar stew ! So it is particularly good with red meats but also sausages and meat pies or just a good juicy steak",11.99,,13.0,75.0,418,2017
Le Vassal de Mercues Malbec Cahors 2015/16,France,Red,Big ,Malbec,MEDIUM,"Mendoza's rightly celebrated for its fruit-packed Malbec. But Cahors is where you'll discover its more refined, elegant brother. Powerful flavours of black cherry, redcurrants and spices will indulge your palate to make every sip more inviting. Powerful flavours of black cherry, redcurrant and spices alongside a silky smooth coating of tannins to give this wine its richness. Mature cheddar, Gouda and blue veined cheeses beckon you while holding a glass of this glorious Cahor Malbec",13.99,,13.0,75.0,419,2015
Orvieto Classico Secco Vigneto Mortaro 2018 Barberani,Italy,White,Crisp ,Barbera,DRY,"Orvieto is a DOC wine and comes from the area surrounding the medieval hill city of Orvieto in Umbria, where Pope Clement VII fled following the sacking of Rome. Traditionally vinified sweet, it is now dry more often than not. Attractive pale colour with green lights and a fresh, fruity nose. Clean and full of citrussy fruity, with a nice nuttiness on the palate and a very crisp finish. This will go really well with a salmon, pasta and pesto salad.",11.99,,12.0,75.0,421,2018
Abbott's & Delaunay Fruits Sauvage Sauvignon Blanc 2017,France,White,Fruity ,Sauvignon Blanc,DRY,"Expect uplifting aromas of lemon, passionfruit and honeysuckle, perfectly brushed with a fine stroke of acidity. Enchantingly aromatic, balanced and rich - this is elegant Sauvignon Blanc at its finest.",10.99,,13.0,75.0,422,2017
The Fox Moth Merlot,,Red,Fruity ,Merlot,MEDIUM,New Zealand may be more famous for Sauvignon Blanc and Pinot Noir but ripe plum and blackcurrant flavours of this soft and plummy Merlot show there is more to discover.,14.99,,13.5,75.0,423,Unknown
Jean Bon Merlot IGP Pays D'Oc 2018,France,Red,Fruity ,Merlot,MEDIUM,"After a red for your Sunday roast? Look no further. Flavour-packed notes of blackberries, jam and redcurrants entwine with hints of regal spices and black pepper. Notes of cassis, raspberry and hints of black pepper compliment the palate while being serenaded by the aroma of sweet black berries. A warming veal dish accompanied by roasted mixed vegetables.",7.99,,13.5,75.0,424,2018
"Decoy Zinfandel 2017 Duckhorn, Sonoma County",USA,Red,Big ,Zinfandel,FULL,"Duckhorn Vineyards was established in 1976 by Dan and Margaret Duckhorn, originally focusing on Bordeaux varieties. They have since embraced other grapes such as Zinfandel here, and grown to incorporate seven estates, representing the Napa Valley's various microclimates. A generous and straightforward wine, with a defined nose of blueberry, cherry and loganberry fruit, accented by soft vanilla oak. The palate is more robust, with the lush fruit framed by firm tannins. A great accompaniment to the savoury flavours of game, venison or duck confit.",25.0,,14.0,75.0,425,2017
Fallow's View Sauvignon Blanc,South Africa,White,Fruity ,Sauvignon Blanc,DRY,"As a South African red fan, you know that the countrys trusty weather and luxurious conditions make it a hub for bang-for-your-buck wine. And its made by the Gabb familys Journeys End winery, which has won countless 90+ point scores from Robert Parker, Tim Atkin MW and Neal Martin to name just a few. Shropshire-born Roger Gabb founded Journeys End, in Stellenbosch, less than 25 years ago. Its since become one of South Africas leading wineries.",6.99,,12.5,75.0,427,Unknown
Bread & Butter Pinot Noir 2016,,Red,Big ,Pinot Noir,LIGHT,"Named after the flavours primarily associated with Californian wines, Bread and Butter have already come up trumps with a sell-out Chardonnay WIGIG (when it's gone, it's gone) that gained an impressive 100% 'Buy It Again' rating! Hot on its heels is this delicious Pinot Noir. All about juicy red fruit (think cranberries, cherries and raspberries), and delicate hints of cedar, smoke, and bay leaf - it's set to surpass even its white compatriot.",15.99,,13.5,75.0,430,2016
Pouilly Fumé Grebet 2018 Les Chants de Cri,France,White,Fruity ,Sauvignon Blanc,DRY,Over two thirds of the 2016 harvest was destroyed by frosts and the remaining 2015 wines are now extremely scarce so this parcel of text book Pouilly-Fume with it classic flavours of green apple and smoky notes should be snapped up while it can,15.99,,13.5,75.0,431,2018
"Mas de la Dona, Cotes de Roussillon Villages 2018",France,Red,Fruity ,"Syrah, Grenache",MEDIUM,Made exclusively for Majestic by the famed Chateau Dona Baissass (a favourite of Robert Parker) this wine is brimming with concentrated dark fruit and spicy prune flavours. Made exclusively for Majestic by the famed Chateau Dona Baissass (a favourite of Robert Parker) this wine is brimming with concentrated dark fruit and spicy prune flavours. A hearty beef or lamb dish with rich sauce and helpings of herbaceous potatoes.,12.99,,15.5,75.0,432,2018
